标记点（置信度）,标记点,x坐标,y坐标,,
joint 0.89,joint ,2843.5,915.5,,
upper_leg 0.91,upper_leg ,2317,262.5,,
lower_leg 0.88,lower_leg ,3250,1783,,
upper_leg 0.90,upper_leg ,2336,261,,
joint 0.92,joint ,2868.5,903,,
lower_leg 0.88,lower_leg ,3244.5,1790.5,,
joint 0.90,joint ,2866,909.5,,
upper_leg 0.90,upper_leg ,2339,264.5,,
lower_leg 0.88,lower_leg ,3244.5,1790.5,,
upper_leg 0.90,upper_leg ,2339,264.5,,
joint 0.91,joint ,2866,909.5,,
lower_leg 0.89,lower_leg ,3214.5,1811,,
joint 0.90,joint ,2851.5,933,,
upper_leg 0.92,upper_leg ,2331,275,,
lower_leg 0.89,lower_leg ,3188,1825,,
upper_leg 0.91,upper_leg ,2320.5,283.5,,
joint 0.91,joint ,2836,944,,
lower_leg 0.89,lower_leg ,3188,1825,,
upper_leg 0.91,upper_leg ,2320.5,283.5,,
joint 0.91,joint ,2836,944,,
lower_leg 0.89,lower_leg ,3061,1901.5,,
joint 0.90,joint ,2754.5,999,,
upper_leg 0.90,upper_leg ,2269,312.5,,
lower_leg 0.88,lower_leg ,2975,1946.5,,
joint 0.88,joint ,2703,1029.5,,
upper_leg 0.92,upper_leg ,2234.5,339.5,,
lower_leg 0.88,lower_leg ,2975,1946.5,,
joint 0.88,joint ,2703,1029.5,,
upper_leg 0.92,upper_leg ,2234.5,339.5,,
joint 0.88,joint ,2605,1085.5,,
lower_leg 0.89,lower_leg ,2762.5,2033,,
upper_leg 0.90,upper_leg ,2184.5,358.5,,
lower_leg 0.89,lower_leg ,2650,2069,,
upper_leg 0.90,upper_leg ,2140.5,382,,
joint 0.93,joint ,2539,1112.5,,
lower_leg 0.89,lower_leg ,2650,2069,,
upper_leg 0.90,upper_leg ,2140.5,382,,
joint 0.93,joint ,2539,1112.5,,
upper_leg 0.89,upper_leg ,2050,395.5,,
lower_leg 0.89,lower_leg ,2411,2118.5,,
joint 0.90,joint ,2398.5,1151.5,,
upper_leg 0.87,upper_leg ,2006.5,396,,
lower_leg 0.88,lower_leg ,2265.5,2137.5,,
joint 0.91,joint ,2321.5,1163.5,,
upper_leg 0.87,upper_leg ,2006.5,396,,
lower_leg 0.88,lower_leg ,2265.5,2137.5,,
joint 0.91,joint ,2321.5,1163.5,,
lower_leg 0.91,lower_leg ,1887.5,2173.5,,
joint 0.92,joint ,2059.5,1208.5,,
upper_leg 0.92,upper_leg ,1825,409.5,,
joint 0.90,joint ,1986,1222.5,,
lower_leg 0.91,lower_leg ,1783,2184.5,,
upper_leg 0.92,upper_leg ,1770.5,414.5,,
joint 0.90,joint ,1912.5,1232,,
lower_leg 0.91,lower_leg ,1689.5,2190.5,,
upper_leg 0.92,upper_leg ,1725,418,,
lower_leg 0.89,lower_leg ,1631,2196.5,,
joint 0.90,joint ,1848.5,1244,,
upper_leg 0.91,upper_leg ,1677,423,,
lower_leg 0.89,lower_leg ,1631,2196.5,,
